scores_eucli_00242.csv ▶ 정확도: 98.06% (TP=1, TN=7843, FP=148, FN=7)
scores_eucli_00243.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00244.csv ▶ 정확도: 98.64% (TP=2, TN=7888, FP=103, FN=6)
scores_eucli_00245.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00246.csv ▶ 정확도: 92.10% (TP=5, TN=7362, FP=629, FN=3)
scores_eucli_00247.csv ▶ 정확도: 92.31% (TP=4, TN=7380, FP=611, FN=4)
scores_eucli_00248.csv ▶ 정확도: 97.85% (TP=2, TN=7825, FP=166, FN=6)
scores_eucli_00249.csv ▶ 정확도: 99.72% (TP=1, TN=7976, FP=15, FN=7)
scores_eucli_00250.csv ▶ 정확도: 99.20% (TP=3, TN=7932, FP=59, FN=5)
scores_eucli_00251.csv ▶ 정확도: 99.79% (TP=0, TN=7982, FP=9, FN=8)
scores_eucli_00252.csv ▶ 정확도: 96.01% (TP=3, TN=7677, FP=314, FN=5)
scores_eucli_00253.csv ▶ 정확도: 97.29% (TP=4, TN=7778, FP=213, FN=4)
scores_eucli_00254.csv ▶ 정확도: 99.16% (TP=3, TN=7929, FP=62, FN=5)
scores_eucli_00255.csv ▶ 정확도: 96.92% (TP=2, TN=7751, FP=240, FN=6)
scores_eucli_00256.csv ▶ 정확도: 99.20% (TP=3, TN=7932, FP=59, FN=5)
scores_eucli_00257.csv ▶ 정확도: 99.20% (TP=4, TN=7931, FP=60, FN=4)
scores_eucli_00258.csv ▶ 정확도: 99.77% (TP=3, TN=7978, FP=13, FN=5)
scores_eucli_00259.csv ▶ 정확도: 99.85% (TP=0, TN=7987, FP=4, FN=8)
scores_eucli_00260.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00261.csv ▶ 정확도: 99.62% (TP=0, TN=7969, FP=22, FN=8)
scores_eucli_00262.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00263.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00265.csv ▶ 정확도: 99.81% (TP=1, TN=7983, FP=8, FN=7)
scores_eucli_00267.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00269.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00270.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00271.csv ▶ 정확도: 98.21% (TP=6, TN=7850, FP=141, FN=2)
scores_eucli_00272.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00273.csv ▶ 정확도: 99.91% (TP=3, TN=7989, FP=2, FN=5)
scores_eucli_00274.csv ▶ 정확도: 93.60% (TP=5, TN=7482, FP=509, FN=3)
scores_eucli_00275.csv ▶ 정확도: 98.46% (TP=5, TN=7871, FP=120, FN=3)
scores_eucli_00276.csv ▶ 정확도: 99.59% (TP=2, TN=7964, FP=27, FN=6)
scores_eucli_00277.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00278.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00279.csv ▶ 정확도: 99.89% (TP=2, TN=7988, FP=3, FN=6)
scores_eucli_00281.csv ▶ 정확도: 99.82% (TP=0, TN=7985, FP=6, FN=8)
scores_eucli_00282.csv ▶ 정확도: 99.07% (TP=2, TN=7923, FP=68, FN=6)
scores_eucli_00283.csv ▶ 정확도: 94.22% (TP=1, TN=7536, FP=455, FN=7)
scores_eucli_00284.csv ▶ 정확도: 98.80% (TP=4, TN=7899, FP=92, FN=4)
scores_eucli_00285.csv ▶ 정확도: 96.94% (TP=3, TN=7751, FP=240, FN=5)
scores_eucli_00286.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00288.csv ▶ 정확도: 99.44% (TP=1, TN=7953, FP=38, FN=7)
scores_eucli_00289.csv ▶ 정확도: 99.72% (TP=1, TN=7976, FP=15, FN=7)
scores_eucli_00290.csv ▶ 정확도: 93.16% (TP=2, TN=7450, FP=541, FN=6)
scores_eucli_00291.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00292.csv ▶ 정확도: 99.14% (TP=3, TN=7927, FP=64, FN=5)
scores_eucli_00293.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00294.csv ▶ 정확도: 99.87% (TP=1, TN=7988, FP=3, FN=7)
scores_eucli_00295.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00296.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00297.csv ▶ 정확도: 99.89% (TP=3, TN=7987, FP=4, FN=5)
scores_eucli_00298.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00299.csv ▶ 정확도: 97.40% (TP=5, TN=7786, FP=205, FN=3)
scores_eucli_00300.csv ▶ 정확도: 99.06% (TP=0, TN=7924, FP=67, FN=8)
scores_eucli_00301.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00302.csv ▶ 정확도: 96.57% (TP=3, TN=7722, FP=269, FN=5)
scores_eucli_00303.csv ▶ 정확도: 98.80% (TP=4, TN=7899, FP=92, FN=4)
scores_eucli_00304.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00305.csv ▶ 정확도: 99.69% (TP=2, TN=7972, FP=19, FN=6)
scores_eucli_00306.csv ▶ 정확도: 99.86% (TP=1, TN=7987, FP=4, FN=7)
scores_eucli_00307.csv ▶ 정확도: 99.27% (TP=1, TN=7940, FP=51, FN=7)
scores_eucli_00308.csv ▶ 정확도: 99.66% (TP=2, TN=7970, FP=21, FN=6)
scores_eucli_00309.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00310.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00311.csv ▶ 정확도: 99.86% (TP=0, TN=7988, FP=3, FN=8)
scores_eucli_00312.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00313.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00314.csv ▶ 정확도: 99.94% (TP=3, TN=7991, FP=0, FN=5)
scores_eucli_00315.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00316.csv ▶ 정확도: 99.69% (TP=1, TN=7973, FP=18, FN=7)
scores_eucli_00317.csv ▶ 정확도: 99.80% (TP=2, TN=7981, FP=10, FN=6)
scores_eucli_00318.csv ▶ 정확도: 99.86% (TP=1, TN=7987, FP=4, FN=7)
scores_eucli_00319.csv ▶ 정확도: 99.85% (TP=1, TN=7986, FP=5, FN=7)
scores_eucli_00320.csv ▶ 정확도: 98.90% (TP=3, TN=7908, FP=83, FN=5)
scores_eucli_00321.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00322.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00323.csv ▶ 정확도: 98.65% (TP=0, TN=7891, FP=100, FN=8)
scores_eucli_00324.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00325.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00326.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00327.csv ▶ 정확도: 99.89% (TP=2, TN=7988, FP=3, FN=6)
scores_eucli_00328.csv ▶ 정확도: 99.92% (TP=2, TN=7991, FP=0, FN=6)
scores_eucli_00329.csv ▶ 정확도: 99.57% (TP=0, TN=7965, FP=26, FN=8)
scores_eucli_00330.csv ▶ 정확도: 93.76% (TP=1, TN=7499, FP=492, FN=7)
scores_eucli_00331.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00332.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00333.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00334.csv ▶ 정확도: 99.81% (TP=0, TN=7984, FP=7, FN=8)
scores_eucli_00335.csv ▶ 정확도: 99.89% (TP=1, TN=7989, FP=2, FN=7)
scores_eucli_00336.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00337.csv ▶ 정확도: 96.75% (TP=6, TN=7733, FP=258, FN=2)
scores_eucli_00338.csv ▶ 정확도: 98.76% (TP=2, TN=7898, FP=93, FN=6)
scores_eucli_00339.csv ▶ 정확도: 99.89% (TP=0, TN=7990, FP=1, FN=8)
scores_eucli_00340.csv ▶ 정확도: 97.45% (TP=2, TN=7793, FP=198, FN=6)
scores_eucli_00341.csv ▶ 정확도: 99.89% (TP=3, TN=7987, FP=4, FN=5)
scores_eucli_00342.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
scores_eucli_00343.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00344.csv ▶ 정확도: 99.91% (TP=1, TN=7991, FP=0, FN=7)
scores_eucli_00345.csv ▶ 정확도: 99.90% (TP=0, TN=7991, FP=0, FN=8)
